DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6133,-60.5756,79.6
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5765,-60.841,85.0
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5584,-60.6897,106.0
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5585,-60.6708,138.7
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5585,-60.6518,89.9
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5402,-60.6899,135.3
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5402,-60.6709,167.1
2024/03/23 00:04:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.522,-60.6711,68.5
2024/03/23 00:04:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3396,-60.6914,67.0
2024/03/23 00:04:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3397,-60.6725,90.2
2024/03/23 00:04:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.692,93.5
2024/03/23 00:04:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.6731,65.2
2024/03/23 00:04:58,GOES-16,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,,,,0.9387,-60.5044,77.3
2024/03/23 00:14:44,GOES-16,Brasil,RORAIMA,AMAJARI,Amazônia,,,,3.5104,-61.1177,65.9
2024/03/23 00:14:44,GOES-16,Brasil,RORAIMA,AMAJARI,Amazônia,,,,3.4922,-61.0991,72.8
2024/03/23 00:14:46,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,3.0525,-61.7104,64.3
2024/03/23 00:14:47,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,2.9614,-61.5988,68.5
2024/03/23 00:14:47,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,2.9248,-61.6558,64.6
2024/03/23 00:14:47,GOES-16,Brasil,RORAIMA,BONFIM,Amazônia,,,,2.9279,-60.2744,74.3
2024/03/23 00:14:48,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6688,-61.9791,71.0
2024/03/23 00:14:49,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6506,-61.9794,64.5
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.4345,-60.4527,67.6
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3772,-61.9076,53.7
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3591,-61.8326,54.0
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3593,-61.6821,88.0
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3593,-61.6633,83.4
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3409,-61.814,57.5
2024/03/23 00:14:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.3243,-60.8143,69.4
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2864,-61.6453,84.6
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2865,-61.6265,85.1
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2702,-60.4358,82.5
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2703,-60.3979,64.3
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2498,-61.7586,109.2
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.252,-60.4361,124.0
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.252,-60.4171,158.3
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2316,-61.7588,67.8
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2316,-61.74,69.6
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2338,-60.4173,70.9
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2134,-61.6838,91.5
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2135,-61.6649,63.7
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1952,-61.684,68.1
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1961,-61.1373,72.0
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1769,-61.703,85.7
2024/03/23 00:14:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.177,-61.6842,83.7
2024/03/23 00:14:52,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.0689,-60.8173,67.3
2024/03/23 00:14:52,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.0507,-60.8175,87.5
